timestamp,open,high,low,close,volume
2024-01-01,100.00,101.20,99.20,100.80,1200
2024-01-02,100.80,102.10,100.10,101.70,1220
2024-01-03,101.70,103.00,101.00,102.40,1240
2024-01-04,102.40,103.50,101.70,103.10,1260
2024-01-05,103.10,104.80,102.80,104.20,1280
2024-01-06,104.20,105.40,103.20,104.90,1300
2024-01-07,104.90,106.00,104.10,105.40,1320
2024-01-08,105.40,106.30,104.40,105.10,1340
2024-01-09,105.10,105.80,103.90,104.40,1360
2024-01-10,104.40,105.20,103.00,103.70,1380
2024-01-11,103.70,104.10,102.10,102.60,1400
2024-01-12,102.60,103.30,101.30,101.90,1420
2024-01-13,101.90,102.40,100.60,101.20,1440
2024-01-14,101.20,102.00,100.10,100.90,1460
2024-01-15,100.90,102.20,100.40,101.80,1480
2024-01-16,101.80,103.50,101.50,103.00,1500
2024-01-17,103.00,104.50,102.70,104.10,1520
2024-01-18,104.10,105.60,103.80,105.00,1540
2024-01-19,105.00,106.80,104.80,106.20,1560
2024-01-20,106.20,108.10,106.00,107.60,1580
2024-01-21,107.60,109.40,107.20,108.90,1600
2024-01-22,108.90,110.70,108.40,110.10,1620
2024-01-23,110.10,112.00,109.80,111.50,1640
2024-01-24,111.50,113.20,110.90,112.40,1660
2024-01-25,112.40,113.00,111.00,111.80,1680
2024-01-26,111.80,112.30,109.90,110.60,1700
2024-01-27,110.60,111.10,108.50,109.20,1720
2024-01-28,109.20,109.70,107.10,107.80,1740
2024-01-29,107.80,108.20,105.90,106.40,1760
2024-01-30,106.40,107.10,104.70,105.50,1780
2024-01-31,105.50,106.30,104.40,105.90,1800
2024-02-01,105.90,107.60,105.60,107.00,1820
2024-02-02,107.00,108.90,106.80,108.30,1840
2024-02-03,108.30,110.10,108.00,109.70,1860
2024-02-04,109.70,111.30,109.20,110.80,1880
2024-02-05,110.80,112.60,110.40,112.00,1900
2024-02-06,112.00,113.80,111.50,113.20,1920
2024-02-07,113.20,115.00,112.90,114.50,1940
2024-02-08,114.50,116.20,114.00,115.80,1960
2024-02-09,115.80,117.00,114.60,115.10,1980
2024-02-10,115.10,115.80,113.20,113.90,2000
2024-02-11,113.90,114.40,111.80,112.40,2020
2024-02-12,112.40,113.00,110.70,111.30,2040
2024-02-13,111.30,112.10,109.90,110.80,2060
2024-02-14,110.80,112.70,110.40,112.20,2080
2024-02-15,112.20,114.10,111.90,113.70,2100

