timestamp,close
step-001,100.00
step-002,100.80
step-003,101.70
step-004,102.40
step-005,103.10
step-006,104.20
step-007,104.90
step-008,105.40
step-009,105.10
step-010,104.40
step-011,103.70
step-012,102.60
step-013,101.90
step-014,101.20
step-015,100.90
step-016,101.80
step-017,103.00
step-018,104.10
step-019,105.00
step-020,106.20
step-021,107.60
step-022,108.90
step-023,110.10
step-024,111.50
step-025,112.40
step-026,111.80
step-027,110.60
step-028,109.20
step-029,107.80
step-030,106.40
step-031,105.50
step-032,105.90
step-033,107.00
step-034,108.30
step-035,109.70
